1655
星期一,英语,数学,业历,生物,语文,业地,选考1,物理,
星期二,生物,数学,业地,英语,语文,物理,业政,班会,
星期三,选考1,生物,英语,语文,数学,业历,物理,业政,
星期四,英语,物理,选考1,数学,语文,业历,业政,业地,
星期五,语文,业政,英语,数学,生物,选考1,业历,业地,

1656
星期一,物理,英语,业历,语文,数学,班会,选考2,业地,
星期二,业地,业政,英语,语文,数学,,业历,选考2,
星期三,选考1,语文,数学,英语,业地,物理,业政,业历,
星期四,选考2,英语,选考1,数学,语文,业政,业历,物理,
星期五,数学,业政,语文,英语,业地,选考1,选考2,物理,

1657
星期一,语文,数学,化学,英语,业地,业生,选考2,业历,
星期二,英语,语文,业生,业历,数学,业地,化学,选考2,
星期三,选考1,数学,业历,语文,英语,班会,化学,业生,
星期四,选考2,数学,选考1,英语,语文,业地,化学,,
星期五,业生,英语,业地,语文,数学,选考1,选考2,业历,

1658
星期一,数学,业政,业化,英语,语文,业地,选考2,历史,
星期二,业化,语文,数学,英语,历史,业政,,选考2,
星期三,选考1,英语,业地,语文,数学,业化,历史,业政,
星期四,选考2,语文,选考1,数学,英语,班会,业地,业化,
星期五,数学,语文,历史,业地,英语,选考1,选考2,业政,

