3680
星期一,化学,语文,数学,物理,,,,,
星期二,英语,数学,,语文,,,生物,班会,
星期三,生物,物理,英语,,,,,化学,
星期四,语文,,数学,数学,,,,化学,
星期五,,英语,化学,语文,,物理,生物,,
星期六,英语,,,数学,化学,物理,,生物,
星期日,语文,,数学,英语,物理,,生物,,

3681
星期一,数学,,,语文,,物理,化学,生物,
星期二,化学,数学,语文,,,,,物理,
星期三,,化学,英语,语文,,,,生物,
星期四,英语,物理,班会,数学,生物,,,化学,
星期五,生物,数学,语文,英语,,,物理,,
星期六,,数学,数学,英语,,,,物理,
星期日,,,语文,英语,,,生物,化学,

3682
星期一,英语,化学,语文,班会,数学,物理,生物,,
星期二,,数学,英语,,生物,物理,化学,,
星期三,,语文,物理,数学,,,,,
星期四,数学,数学,化学,语文,,,,生物,
星期五,生物,,物理,英语,,化学,,,
星期六,英语,,物理,语文,生物,,,,
星期日,语文,,英语,数学,,,,化学,

3683
星期一,历史,英语,政治,班会,数学,语文,地理,,
星期二,数学,英语,地理,政治,,,,,
星期三,语文,,英语,,地理,政治,,历史,
星期四,,数学,数学,,,,历史,,
星期五,数学,地理,语文,英语,,,政治,,
星期六,语文,,政治,,,,,历史,
星期日,历史,语文,数学,英语,,地理,,,

3684
星期一,数学,物理,,语文,班会,,生物,化学,
星期二,化学,英语,,,,,物理,,
星期三,语文,英语,数学,,化学,,生物,物理,
星期四,,,英语,,,,生物,,
星期五,数学,数学,物理,语文,,,化学,,
星期六,语文,英语,生物,数学,物理,,,,
星期日,,数学,语文,英语,生物,,化学,,

3685
星期一,语文,英语,数学,,物理,,化学,,
星期二,数学,英语,,化学,,,,生物,
星期三,,数学,,语文,化学,生物,,,
星期四,英语,物理,数学,数学,,生物,,,
星期五,物理,生物,语文,英语,,,,,
星期六,,英语,物理,语文,化学,,,,
星期日,语文,化学,数学,物理,,班会,,生物,

3686
星期一,,数学,,英语,,生物,物理,班会,
星期二,,化学,,语文,,物理,,,
星期三,,英语,数学,语文,生物,,化学,,
星期四,,数学,数学,生物,,,,物理,
星期五,英语,化学,生物,语文,,,,,
星期六,,英语,数学,语文,物理,,化学,,
星期日,英语,语文,物理,数学,化学,,,生物,

3687
星期一,,语文,,英语,,生物,,化学,
星期二,,数学,物理,语文,,,化学,,
星期三,英语,生物,,化学,,,,物理,
星期四,数学,,语文,,,物理,,,
星期五,英语,化学,数学,数学,,生物,,,
星期六,物理,英语,语文,数学,班会,化学,生物,,
星期日,数学,,英语,语文,,,物理,生物,

3688
星期一,语文,化学,英语,数学,,,,生物,
星期二,生物,英语,语文,化学,,,物理,,
星期三,数学,英语,,语文,,物理,,生物,
星期四,数学,数学,物理,英语,,化学,生物,,
星期五,化学,,语文,,,,,,
星期六,班会,,数学,,,,物理,,
星期日,,数学,英语,语文,化学,生物,,物理,

3689
星期一,,,数学,,地理,,政治,历史,
星期二,,政治,英语,语文,班会,地理,,,
星期三,语文,数学,数学,,,历史,,政治,
星期四,英语,语文,,数学,历史,地理,,政治,
星期五,历史,数学,语文,英语,,,地理,,
星期六,数学,地理,语文,英语,,政治,,,
星期日,历史,,,英语,,,,,

3690
星期一,,英语,政治,,历史,,地理,,
星期二,语文,政治,地理,数学,历史,,班会,,
星期三,,英语,政治,语文,,,,,
星期四,语文,数学,历史,英语,地理,,,,
星期五,,数学,数学,语文,,,,地理,
星期六,政治,历史,英语,数学,,,,,
星期日,数学,,语文,英语,历史,,地理,政治,

3691
星期一,数学,,语文,英语,,物理,,,
星期二,,,物理,英语,,生物,,化学,
星期三,数学,化学,语文,英语,物理,生物,,,
星期四,物理,语文,数学,数学,,,,生物,
星期五,,语文,英语,,化学,,,,
星期六,,数学,化学,语文,,生物,,,
星期日,,生物,英语,数学,班会,物理,化学,,

3692
星期一,,数学,语文,英语,班会,,,物理,
星期二,英语,,物理,数学,化学,化学,,生物,
星期三,,,语文,英语,,化学,,生物,
星期四,数学,语文,英语,,,,化学,物理,
星期五,,英语,物理,数学,,生物,,,
星期六,化学,语文,,,,,生物,物理,
星期日,数学,数学,生物,语文,,,,,

3693
星期一,语文,物理,化学,物理,,,,,
星期二,化学,,数学,生物,,,,,
星期三,英语,数学,数学,语文,生物,,物理,,
星期四,化学,语文,,英语,,数学,生物,,
星期五,化学,语文,英语,,,物理,班会,,
星期六,生物,语文,数学,英语,,,,,
星期日,物理,英语,数学,,生物,化学,,,

3694
星期一,化学,班会,数学,物理,,,,,
星期二,英语,语文,数学,物理,,生物,,化学,
星期三,英语,语文,生物,生物,,,,,
星期四,语文,数学,,生物,,,,化学,
星期五,数学,数学,,物理,化学,,,英语,
星期六,数学,语文,英语,物理,,,,,
星期日,语文,英语,生物,物理,,,化学,,

3695
星期一,化学,,数学,英语,生物,,物理,,
星期二,数学,语文,,,物理,班会,生物,,
星期三,数学,物理,英语,语文,化学,,,,
星期四,生物,语文,英语,,,,物理,,
星期五,英语,生物,数学,数学,,,化学,,
星期六,英语,数学,语文,,,生物,,化学,
星期日,,物理,,语文,,化学,,,

3696
星期一,,英语,,语文,生物,化学,,,
星期二,英语,化学,数学,,物理,班会,生物,,
星期三,数学,,语文,物理,生物,,,,
星期四,英语,语文,数学,数学,,,,化学,
星期五,语文,物理,英语,,,,,化学,
星期六,,,数学,英语,生物,物理,,化学,
星期日,生物,语文,数学,,,物理,,,

3697
星期一,物理,数学,语文,英语,化学,生物,,,
星期二,英语,化学,语文,物理,,,,生物,
星期三,,语文,数学,数学,,物理,,化学,
星期四,,生物,,英语,,语文,,,
星期五,数学,物理,生物,,,化学,,,
星期六,英语,数学,语文,,,,生物,,
星期日,数学,班会,,英语,,物理,,化学,

3698
星期一,语文,历史,地理,数学,,,,,
星期二,,,英语,数学,,,,历史,
星期三,历史,政治,英语,语文,,,,,
星期四,数学,英语,语文,,,地理,政治,,
星期五,数学,数学,政治,语文,历史,地理,,,
星期六,,地理,,英语,,,历史,政治,
星期日,英语,,语文,数学,,地理,政治,班会,

3699
星期一,英语,数学,语文,,化学,物理,,生物,
星期二,英语,数学,物理,语文,,,,化学,
星期三,物理,数学,数学,生物,,,化学,,
星期四,,物理,数学,英语,班会,语文,,化学,
星期五,,英语,,数学,生物,,,,
星期六,语文,,物理,,生物,,,,
星期日,生物,英语,化学,语文,,,,,

