高二1班
星期一,数学,选考,语文,物理,化学,单双周,班会,
星期二,英语,物理,数学,语文,体育,自习,化学,
星期三,英语,语文,语文,数学,化学,物理,选考,
星期四,语文,英语,选考,数学,自习,,化学,
星期五,英语,英语,数学,数学,选考,体育,物理,

高二2班
星期一,数学,选考,生物,英语,体育,物理,班会,
星期二,数学,数学,语文,语文,自习,,生物,
星期三,语文,数学,英语,体育,物理,生物,选考,
星期四,数学,语文,选考,自习,英语,物理,单双周,
星期五,英语,英语,语文,数学,选考,物理,生物,

高二3班
星期一,数学,选考,语文,政治,单双周,体育,班会,
星期二,,英语,数学,语文,政治,物理,自习,
星期三,数学,语文,语文,英语,物理,体育,选考,
星期四,语文,数学,选考,英语,自习,政治,物理,
星期五,数学,数学,英语,英语,选考,物理,政治,

高二4班
星期一,数学,选考,英语,语文,体育,化学,班会,
星期二,英语,英语,数学,数学,化学,生物,,
星期三,语文,单双周,英语,数学,生物,自习,选考,
星期四,语文,语文,选考,数学,体育,生物,化学,
星期五,语文,英语,化学,数学,选考,生物,自习,

高二5班
星期一,英语,选考,数学,历史,体育,地理,班会,
星期二,英语,英语,数学,语文,地理,,历史,
星期三,英语,数学,语文,语文,自习,地理,选考,
星期四,英语,数学,选考,语文,地理,体育,历史,
星期五,单双周,语文,数学,数学,选考,历史,自习,

高二6班
星期一,英语,选考,数学,数学,生物,自习,班会,
星期二,语文,语文,政治,数学,,体育,生物,
星期三,数学,语文,单双周,英语,政治,生物,选考,
星期四,语文,数学,选考,英语,自习,政治,生物,
星期五,英语,英语,数学,语文,选考,政治,体育,

高二7班
星期一,英语,选考,数学,历史,语文,化学,班会,
星期二,语文,历史,英语,数学,化学,自习,体育,
星期三,英语,化学,数学,数学,单双周,历史,选考,
星期四,语文,语文,选考,数学,,化学,体育,
星期五,英语,英语,数学,语文,选考,自习,历史,

高二8班
星期一,语文,选考,数学,政治,化学,单双周,班会,
星期二,语文,政治,英语,数学,体育,自习,化学,
星期三,英语,英语,语文,语文,数学,政治,选考,
星期四,英语,数学,选考,语文,化学,自习,,
星期五,数学,数学,英语,化学,选考,体育,政治,

高二9班
星期一,语文,选考,数学,物理,英语,化学,班会,
星期二,语文,物理,数学,数学,单双周,化学,自习,
星期三,数学,英语,语文,语文,体育,物理,选考,
星期四,语文,数学,选考,英语,,化学,自习,
星期五,英语,英语,数学,化学,选考,体育,物理,

高二10班
星期一,数学,选考,英语,生物,,体育,班会,
星期二,语文,语文,数学,英语,物理,生物,自习,
星期三,数学,数学,语文,英语,物理,体育,选考,
星期四,语文,数学,选考,生物,物理,单双周,自习,
星期五,数学,语文,英语,英语,选考,生物,物理,

高二11班
星期一,数学,选考,政治,走一,英语,自习,班会,
星期二,数学,走一,语文,语文,,体育,政治,
星期三,数学,语文,英语,英语,政治,走一,选考,
星期四,数学,语文,选考,英语,自习,体育,单双周,
星期五,数学,数学,语文,英语,选考,政治,走一,

高二12班
星期一,英语,选考,数学,走一,语文,物理,班会,
星期二,数学,走一,英语,英语,体育,自习,,
星期三,数学,数学,语文,语文,物理,走一,选考,
星期四,语文,数学,选考,英语,体育,自习,物理,
星期五,数学,语文,英语,单双周,选考,物理,走一,

高二13班
星期一,数学,选考,化学,走一,英语,单双周,班会,
星期二,语文,走一,数学,英语,自习,化学,体育,
星期三,语文,语文,数学,数学,,走一,选考,
星期四,数学,语文,选考,英语,化学,自习,体育,
星期五,语文,数学,英语,英语,选考,化学,走一,

